rank,repo_name,language,influence_score,influence_tier,stars_score,openrank_score,activity_score,bus_factor_score,raw_stars,raw_openrank,raw_activity,raw_bus_factor,influence_trend,trend_value,community_health,growth_potential,market_position
174,kubernetes/test-infra,Go,143.69,S-Tier,0.19,5.22,11.89,2.81,27,124.72,601.47,50,declining,-0.2586,fair,low,leader
175,containers/podman,Go,142.99,S-Tier,2.87,8.89,11.76,3.03,402,212.28,595.08,54,stable,-0.0085,fair,low,leader
176,ruffle-rs/ruffle,Rust,138.5,S-Tier,3.81,10.95,11.52,2.87,534,261.33,582.94,51,rising,0.2114,fair,high,leader
177,tailscale/tailscale,Go,136.91,S-Tier,3.51,10.16,11.47,2.81,491,242.47,580.35,50,rising,0.231,fair,medium,leader
178,apache/flink,Java,135.85,S-Tier,2.0,6.8,11.5,1.74,280,162.25,582.21,31,declining,-0.1535,fair,low,leader
179,ValveSoftware/Proton,Unknown,132.89,S-Tier,1.72,8.18,11.31,12.19,241,195.22,572.28,217,declining,-0.0841,fair,low,leader
180,tachiyomiorg/tachiyomi-extensions,Kotlin,130.16,S-Tier,0.41,12.5,11.12,13.93,57,298.5,562.71,248,stable,0.0007,fair,low,leader
181,openhab/openhab-addons,Java,129.75,S-Tier,0.1,8.77,11.22,2.08,14,209.36,568.06,37,stable,0.0187,fair,medium,leader
182,apache/tvm,C++,129.73,S-Tier,1.14,7.1,11.24,1.74,159,169.57,568.9,31,declining,-0.0604,good,low,leader
183,renovatebot/renovate,TypeScript,128.17,S-Tier,2.69,9.81,11.09,3.6,377,234.12,561.45,64,stable,0.028,fair,medium,leader
184,ziglang/zig,Unknown,127.48,S-Tier,4.89,7.34,11.07,5.06,685,175.23,560.28,90,rising,0.1884,fair,medium,leader
185,AdguardTeam/AdguardFilters,JavaScript,124.47,S-Tier,0.48,21.08,10.76,1.52,67,503.27,544.45,27,stable,0.0155,fair,medium,leader
186,dotnet/docs,JavaScript,124.45,S-Tier,0.29,8.28,10.98,3.99,41,197.66,555.88,71,stable,0.0052,fair,low,leader
